id,author_wikidata,oclc_isbn,oclc_owi,total_weeks,htid,author_wikidata_qid,hathi_rights,isbn,title_id,author_conflict,best_rank_conflict,debut_rank_conflict,first_week_conflict,oclc_conflict,title_conflict,year_conflict
107,Q716579,0837167779,349234095,4,mdp.39015066296156,Q716579,ic,0837167779,107,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1073,Q536861,0440014085,196528361,21,mdp.39015000513997,Q536861,ic,0440014085,1073,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1075,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1076,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1077,Q219784,9780140153224,2863453845,13,mdp.39015055119328,Q219784,ic,0525470832,1077,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1083,Q230591,NA,467366,22,mdp.39015008621164,Q230591,ic,NA,1083,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1085,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1087,Q2909151,0684845768,883767,5,mdp.39015045655050,Q2909151,ic,0684855755,1087,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1088,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
109,NA,NA,1717446,3,uc1.$b104062,NA,ic,NA,109,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1091,Q210669,0525945636,6017188,8,mdp.39015049550273,Q210669,ic,0525945636,1091,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1093,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1098,Q1064454,0871136791,3770228180,61,mdp.39015054038578,Q1064454,ic,0871136791,1098,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1099,Q3500849,0399147365,13544884,5,mdp.39015050499584,Q3500849,ic,0399147365,1099,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
110,Q5566419,NA,148096550,3,mdp.39015030728011,Q5566419,ic,NA,110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1100,Q550819,0399152407,374392238,4,mdp.39015060593665,Q550819,ic,0399152407,1100,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1101,NA,NA,NA,5,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1104,Q203460,0394584090,1059091234,3,uc1.32106009416683,Q203460,ic,0394584090,1104,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1107,Q234392,NA,544774,1,mdp.39015008387188,Q234392,ic,NA,1107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1111,Q283496,NA,1840501,14,mdp.39015002725615,Q283496,und,NA,1111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1117,Q290686,067100333X,567528,3,mdp.39015040069828,Q290686,ic,067100333X,1117,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1118,Q314929,0399140824,612887,7,mdp.39015034923915,Q314929,ic,0399140824,1118,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1119,NA,NA,1832693,1,uc1.$b101571,NA,ic,NA,1119,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1120,NA,NA,1875425297,11,uc1.$b86995,NA,ic,NA,1120,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1121,NA,0399136703,3769065137,12,mdp.39015058017818,NA,ic,0718134680,1121,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1124,Q42327267,NA,422396528,1,uc1.$b798950,Q42327267,pdus,NA,1124,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1126,Q72653,0385338325,20055938,7,mdp.39015073948294,Q72653,ic,0385338325,1126,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1127,NA,NA,NA,9,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1128,Q8020495,NA,149337058,3,uc1.$b601378,Q8020495,ic,NA,1128,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1129,Q80900,NA,4336985,3,uc1.$b223958,Q80900,und,NA,1129,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
113,Q1633025,0394407571,464030,1,mdp.39015066055388,Q1633025,ic,0394407571,113,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1131,Q430182,0884119289,2908871943,13,umn.31951002044405r,Q430182,ic,NA,1131,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1135,Q966340,0786703199,58177189,54,mdp.39015008990346,Q966340,ic,0877956502,1135,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1137,Q558425,0397012039,196541602,27,mdp.39015001811705,Q558425,ic,0397012039,1137,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1143,Q5566463,NA,476606009,4,uc1.b3727838,Q5566463,ic,NA,1143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1144,Q172140,0394513924,156434160,12,mdp.39015046372440,Q172140,ic,0394513924,1144,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1145,Q373541,NA,41671806,1,mdp.39015014603446,Q373541,ic,NA,1145,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1147,Q1356200,9780743270366,46415069,6,mdp.39015062619427,Q1356200,ic,NA,1147,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1149,Q410,0671434004,2517127841,24,mdp.39015038888775,Q410,ic,0671434004,1149,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1150,Q352059,0399141065,16001087,8,mdp.39015037305441,Q352059,ic,0399141065,1150,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1152,NA,NA,NA,27,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1154,Q1678883,0345450191,2716273,4,mdp.39015059250996,Q1678883,ic,0345450191,1154,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1157,Q469250,NA,198928504,3,mdp.39015008507801,Q469250,ic,NA,1157,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1158,Q7074155,NA,199065632,6,mdp.39015029834986,Q7074155,ic,0877956537,1158,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1159,NA,NA,NA,5,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1160,Q134942,NA,1224598,1,mdp.39015001145211,Q134942,und,NA,1160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1162,Q298651,0553803425,264042,3,mdp.39015060886457,Q298651,ic,0553803425,1162,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1167,Q105756,0394420667,461689,36,uc1.32106002151097,Q105756,ic,9780233960746,1167,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1169,Q446121,0345486501,48290780,4,mdp.39015064884664,Q446121,ic,0345486501,1169,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1171,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1176,Q167821,0394500156,196658948,16,mdp.39015002182411,Q167821,ic,0394500156,1176,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1178,NA,NA,NA,8,uc1.b4086401,NA,ic,NA,224,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
1183,Q1688127,NA,413240,11,mdp.39015024079025,Q1688127,und,NA,1183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1184,NA,NA,NA,2,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1185,NA,NA,NA,5,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1188,Q3035915,NA,190729631,1,mdp.39015013281632,Q3035915,ic,NA,1188,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1190,NA,NA,NA,2,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1191,Q104528497,NA,225047968,2,mdp.39015063954955,Q104528497,ic,NA,1191,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1195,NA,NA,NA,4,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1197,Q298221,0743233484,10794,3,mdp.39015060998914,Q298221,ic,0743233484,1197,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
120,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1202,NA,NA,NA,11,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1204,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1205,Q72653,0440011302,325501670,24,uc1.32106013896318,Q72653,ic,0440011302,1205,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1207,NA,NA,NA,4,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1208,Q5444469,074345779X,8739,1,mdp.39015058210033,Q5444469,ic,074345779X,1208,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1211,NA,NA,NA,12,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1213,Q982095,0743277198,1112543,2,mdp.39015061458892,Q982095,ic,0743277198,1213,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1214,Q446121,0345453417,683641,1,mdp.39015057620885,Q446121,ic,0345453417,1214,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1215,Q361623,NA,398710,25,mdp.39076000493788,Q361623,ic,0020532105,1215,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1219,Q336519,0385323832,535466,5,mdp.39015039922177,Q336519,ic,0385323832,1219,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
122,Q3704362,0778321444,938154,1,mdp.39015060818443,Q3704362,ic,0778321444,122,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1221,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1222,Q39829,0670451932,354800,33,pst.000059006770,Q39829,ic,0816156670,1221,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1224,NA,NA,NA,3,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1227,Q35064,0396071910,11664196311,33,mdp.39015003472480,Q35064,ic,0396071910,1227,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1229,Q4309918,NA,354026796,22,uc1.$b98402,Q4309918,ic,NA,1229,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
123,Q531759,0375405917,317770,3,mdp.39015059124506,Q531759,ic,0375405917,123,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1232,Q72653,0385297661,535328,22,mdp.49015002559228,Q72653,ic,0385297459,1232,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1235,Q231736,0743206045,4929061902,9,mdp.39015055183555,Q231736,ic,0743206045,1235,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1236,NA,NA,NA,3,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1237,NA,NA,NA,9,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1238,Q5363029,NA,2288405,1,mdp.39015032389515,Q5363029,ic,NA,1238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1241,Q437810,0679401350,2452617150,11,mdp.39015025224190,Q437810,ic,0679401350,1241,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1242,NA,NA,NA,2,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1246,Q233046,0399136487,1067042,1,mdp.39015029211250,Q233046,ic,0399136487,1246,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1247,Q233046,039913817X,5218413675,1,pst.000045148910,Q233046,ic,0399138366,1247,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1249,NA,NA,NA,4,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1250,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1252,Q2089198,NA,2448595,3,uc1.$b86056,Q2089198,ic,NA,1252,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1257,Q437224,0060177225,651114,6,mdp.39015034445950,Q437224,ic,0060177225,1257,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1258,Q214660,0316289590,48081265,27,uc1.b4410359,Q214660,ic,9780316289597,1258,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
126,Q34670,0394472624,11475665716,2,mdp.39015003640110,Q34670,ic,0394472624,126,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1262,Q288627,0345469291,46652368,1,mdp.39015063341377,Q288627,ic,0345469305,1262,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1268,Q3500849,039915342X,46869663,5,mdp.39015064690079,Q3500849,ic,9780399153426,1268,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1269,Q457450,NA,3943316105,19,mdp.39076000770110,Q457450,ic,NA,1269,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1270,Q1683201,0553801929,3579970851,5,mdp.39015055796752,Q1683201,ic,0553801929,1270,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1273,Q433708,0399151788,901835,4,mdp.39015060122275,Q433708,ic,0399151788,1273,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1274,Q1678883,0679450432,844309,5,mdp.39015047518736,Q1678883,ic,0679450432,1274,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1281,Q1701679,9780399154775,9381708814,5,mdp.39015074297832,Q1701679,ic,0399154779,1281,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1286,Q272076,0679425241,47667,10,mdp.39015017429088,Q272076,ic,0679425241,1286,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
13,Q314929,0399143025,539074,7,mdp.39015040572409,Q314929,ic,0718142888,13,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
130,Q80900,9781453263488,5573824567,8,inu.30000041111034,Q80900,ic,1559210346,130,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1300,Q339577,0553444190,12060816,3,mdp.39015034512692,Q339577,ic,0553099744,1300,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1307,Q72653,0385336314,687266,6,mdp.39015056814265,Q72653,ic,0385336918,1307,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1309,Q471021,NA,52400880,21,mdp.39015053232107,Q471021,und,NA,1309,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1310,Q5566463,NA,1461943,18,mdp.39015002754748,Q5566463,ic,NA,1310,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1311,NA,NA,NA,2,uc1.b4086401,NA,ic,NA,224,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
1318,NA,NA,NA,11,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1319,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1322,Q298651,0553802461,912030,4,mdp.39015056670386,Q298651,ic,0553802461,1322,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1326,NA,NA,NA,4,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
133,Q298229,0345423399,14576081,1,mdp.39015066066682,Q298229,ic,0345423399,133,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1334,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1335,NA,NA,NA,12,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1339,Q1349027,0399147357,1050473,1,mdp.39015050772709,Q1349027,ic,0399147357,1339,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1341,NA,NA,NA,3,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1343,Q49074,0440017807,1178290084,14,mdp.39015013948370,Q49074,ic,0440017807,1343,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1350,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1351,Q298221,9780684859712,6659787,4,uc1.32106015140467,Q298221,ic,0743204298,1351,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1354,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1355,Q445429,NA,33378563,64,pst.000032220704,Q445429,ic,1568492421,1355,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
136,Q72705,NA,48210193,16,inu.32000009191885,Q72705,ic,NA,136,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1360,Q443096,NA,4837223529,32,mdp.39015058729354,Q443096,ic,1556524900,1360,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1361,NA,NA,NA,2,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1364,Q5995099,0517544873,4160075790,1,pst.000015648167,Q5995099,ic,0425087956,1364,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1366,Q6551554,0743254899,9264251743,3,mdp.39015063661014,Q6551554,ic,0743254899,1366,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1370,Q550819,0399147799,374393173,3,mdp.39015053148055,Q550819,ic,0399147799,1370,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1373,NA,NA,NA,2,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1376,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1380,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1382,Q105167,0399139540,543712,25,mdp.39015035331548,Q105167,ic,0399139540,1382,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1384,Q1395538,0684872536,3901071404,1,mdp.39015055842788,Q1395538,ic,0684872536,1384,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1387,Q187019,0671703749,198683319,3,mdp.39015017697734,Q187019,ic,0671703749,1387,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
139,Q298229,9780345495907,103618008,3,mdp.39015074299432,Q298229,ic,034549590X,139,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1390,Q314929,0399138714,13803788,8,mdp.39015054091932,Q314929,ic,0399138714,1390,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1391,Q454595,NA,40777390,26,mdp.39015003471441,Q454595,ic|und,NA,1391,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1392,NA,NA,NA,10,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1394,NA,NA,2485662,3,mdp.39015063956521,NA,ic,NA,1394,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1399,Q447404,0399145869,2294346,2,mdp.39015047866853,Q447404,ic,0399145869,1399,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
14,NA,NA,NA,8,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1400,Q793895,0385515502,56673525,3,mdp.39015067684137,Q793895,ic,9780385515504,1400,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1401,Q438345,0671524194,680665,3,mdp.39015038599778,Q438345,ic,0671524194,1401,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1406,Q1678883,0679420649,4063799575,11,mdp.39015033991335,Q1678883,ic,0679420649,1406,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1409,Q21077879,NA,1087170,11,mdp.39015063550084,Q21077879,ic,NA,1409,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
