record_id,title,creator,released,year_set,horizon,release_decade,medium,genre,is_series,multiyears,predictions
heinlein_puppet_1951,The Puppet Masters,Robert A. Heinlein,1951,2007,56,1950,prose fiction,science fiction,NA,NA,"The US and the Soviet Union engaged in a limited nuclear war, but are still hostile. The Sino-Soviet split never happened and China is part of the Soviet Bloc. Flying cars and interplanetary travel are commonplace."
winchell_preview_1951,"""Preview of the War We Do Not Want""",Edward R. Murrow; Arthur Koestler; Philip Wylie; Hal Boyle; Marguerite Higgins; Walter Winchell,1951,1956,5,1950,prose fiction,novella,NA,1952-1960,"World War III breaks out on May 10, 1952. After three years of fighting, the United Nations emerges victorious over the Soviet Union, which is subsequently occupied."
beaverbrook_tv_1951,TV Comic,"Max Aitken, 1st Baron Beaverbrook",1951,2060,109,1950,prose fiction,NA,NA,NA,NA
lem_astronauts_1951,The Astronauts,Stanisław Lem,1951,2003,52,1950,prose fiction,science fiction,NA,NA,"By 2003, Communism has emerged as the worldwide form of government. Humanity is engaged in numerous gigantic engineering projects such as the irrigation of the Sahara, the construction of a hydro-energetic plant over the Strait of Gibraltar, climate control and the thawing the Antarctic and the Arctic."
dubin_sneak_1951,"""Sneak Attack"" (from Tales of Tomorrow)",Charles S. Dubin,1951,1960,9,1950,television,science fiction,Q2676592,NA,"In 1960, an unnamed foreign power launches 22 robot airplanes carrying hetrodyne bombs and threatens to detonate them in the major cities of the United States unless the US president surrenders the entire nation to this foreign power. Denver is destroyed, resulting in the deaths of 46,000 people."
asimov_fun_1951,The Fun They Had,Isaac Asimov,1951,2155,204,1950,prose fiction,science fiction,NA,NA,NA
russell_dreadful_1951,Dreadful Sanctuary,Eric Frank Russell,1951,1972,21,1950,prose fiction,science fiction,NA,NA,NA
palmer_armageddon_1952,"""Armageddon 1970"" (from Imagination)",Raymond Arthur Palmer,1952,1970,18,1950,prose fiction,novella,Q609318,NA,"In 1959, a handgun called a grenade pistol was invented. Prior to 1960, the first artificial satellite Albertus, named after Albert Einstein, was launched by the United States. In 1960, the Soviet Union collapsed due to the internal causes precipitated by the launching of Albertus. An ""almost Carthaginian peace"" was imposed on Argentina after it dropped an atomic bomb on London. By 1970, the United States held unrivaled power among the other nations of the world to the point that there was little possibility of another country successfully attacking or sabotaging the US."
tezuka_astro_1952,Astro Boy,Osamu Tezuka,1952,2003,51,1950,comics,action anime and manga,Q7576732,NA,"A world in which humans and androids coexist. Celebrations were held in Japan for Astro Boy's birthday of April 7, 2003.[12]"
bradbury_the_1952,"""The Wilderness""",Ray Bradbury,1952,2003,51,1950,prose fiction,short story,NA,NA,"In 2003, commercial travel to Mars is common."
bradbury_sound_1952,A Sound of Thunder,Ray Bradbury,1952,2055,103,1950,prose fiction,science fiction,NA,NA,NA
asimov_currents_1952,The Currents of Space,Isaac Asimov,1952,11086,9134,1950,prose fiction,science fiction,NA,NA,NA
liebeneiner_april_1952,1. April 2000,Wolfgang Liebeneiner,1952,2000,48,1950,film,science fiction,NA,NA,"Depicts Austria as still being closely watched over by the Allies, even 55 years after the defeat of the Axis Powers in World War II."
dubin_age_1952,"""Age of Peril"" (from Tales of Tomorrow)",Charles S. Dubin,1952,1965,13,1950,television,science fiction,Q2676592,NA,"In 1965, lie detector results are the primary means of securing convictions."
gilmore_captive_1952,Captive Women,Stuart Gilmore,1952,3000,1048,1950,film,science fiction,NA,NA,NA
bradbury_fahrenheit_1953,Fahrenheit 451,Ray Bradbury,1953,2053,100,1950,prose fiction,political,NA,"After 1960; takes place in same universe directly after other Bradbury story ""The Pedestrian"" explicitly set in 2053","Early editions listed some time after 1960. Later editions showed after 1990 or 2022, where they started and won two atomic wars. Predicted regular use of earbud headphones,[3] interactive television, video wall screens, robotic bank tellers,[40] the demise of newspapers and the prevalent use of factoids.[41] Also had the Mechanical Hound[42] and technology for complete blood transfusions."
clarke_childhood's_1953,Childhood's End,Arthur C. Clarke,1953,2000,47,1950,prose fiction,science fiction,NA,NA,"Set in the late 20th century,[24] in which the United States and the Soviet Union are competing to launch the first orbital weapons platform. Aliens arrive and put a stop to it."
shute_in_1953,In the Wet,Nevil Shute,1953,1983,30,1950,prose fiction,novel,NA,NA,Set partially in 1983 where a mixed-race Australian pilot assists a Royal Family who are unloved in a Socialist UK.
heinlein_revolt_1953,Revolt in 2100,Robert A. Heinlein,1953,2100,147,1950,prose fiction,science fiction,NA,NA,NA
asimov_sally_1953,Sally,Isaac Asimov,1953,2057,104,1950,prose fiction,science fiction,NA,NA,NA
talmadge_project_1953,Project Moonbase,Richard Talmadge,1953,1970,17,1950,film,science fiction,NA,NA,People can live on the moon.[6]
hunter_rocket_1953,Rocket to Luna,Evan Hunter,1953,1983,30,1950,prose fiction,science fiction,NA,NA,NA
shiras_children_1953,Children of the Atom,Wilmar H. Shiras,1953,1972,19,1950,prose fiction,science fiction,NA,NA,NA
bester_demolished_1953,The Demolished Man,Alfred Bester,1953,2301,348,1950,prose fiction,science fiction,NA,NA,NA
anderson_un-man_1953,Un-Man,Poul Anderson,1953,2004,51,1950,prose fiction,NA,Q7758675,NA,NA
decamp_virgin_2011,The Virgin of Zesh,L. Sprague de Camp,1953,2150,197,1950,prose fiction,science fiction,Q7924459,NA,NA
godwin_cold_1954,The Cold Equations,Tom Godwin,1954,2178,224,1950,prose fiction,NA,NA,NA,NA
matheson_i_1954,I Am Legend,Richard Matheson,1954,1978,24,1950,prose fiction,vampire,NA,1976-1979,A deadly virus outbreak in 1975 transforms all but one of the human race into vampires.
dozier_rod_1954,Rod Brown of the Rocket Rangers,William Dozier,1954,2153,199,1950,television,science fiction,NA,NA,NA
asimov_it's_1954,It's Such a Beautiful Day,Isaac Asimov,1954,2117,163,1950,prose fiction,science fiction,NA,NA,NA
anderson_sensitive_1954,The Sensitive Man,Poul Anderson,1954,2009,55,1950,prose fiction,science fiction,Q7758675,NA,NA
asimov_franchise_1955,"""Franchise""",Isaac Asimov,1955,2008,53,1950,prose fiction,science fiction,NA,NA,"In 2008, the US president is elected via means of a computer, which calculates and determines the most suitable candidate for the post."
jones_one_1955,One Froggy Evening,Chuck Jones,1955,2056,101,1950,film,musical,NA,NA,NA
silverberg_revolt_1955,Revolt on Alpha C,Robert Silverberg,1955,2363,408,1950,prose fiction,science fiction,NA,NA,NA
gordon_king_1955,King Dinosaur,Bert Ira Gordon,1955,1960,5,1950,film,science fiction,NA,NA,NA
moore_mission_1955,Mission to Mars,Patrick Moore,1955,1968,13,1950,prose fiction,science fiction,NA,NA,NA
launder_geordie_1955,Geordie,Frank Launder,1955,1956,1,1950,film,comedy drama,NA,NA,NA
dick_world_1956,The World Jones Made,Philip K. Dick,1956,2002,46,1950,prose fiction,science fiction,NA,NA,"Post-nuclear world in which evangelism of any ideology whatsoever is outlawed, but a messianic named Jones becomes head of a xenophobic movement."
wilcox_forbidden_1956,Forbidden Planet,Fred M. Wilcox,1956,2200,244,1950,film,science fiction,NA,NA,NA
huggins_man_1956,"""Man from 1997"" (from Conflict)",Roy Huggins,1956,1997,41,1950,television,tv series episode,Q3686703,NA,"By 1997, time travel is in common use. A librarian named B. O. Boyne from 1997 accidentally leaves an almanac from the future behind when he visits 1956."
blish_cities_1956,Cities in Flight,James Blish,1956,2016,60,1950,prose fiction,science fiction,NA,2013-2018,"By 2013, civil liberties in the West have been severely eroded due to the Cold War, coming to resemble the Soviet model."
gordon_your_1956,Your Safety First,George Gordon,1956,2000,44,1950,film,short film,NA,NA,"In 2000, cars are self-driving, commercial travel to the Moon is common, television is 3D and interactive and life expectancy has increased significantly."
asimov_last_1956,The Last Question,Isaac Asimov,1956,2061,105,1950,prose fiction,science fiction,NA,NA,NA
bernds_world_1956,World Without End,Edward Bernds,1956,2508,552,1950,film,science fiction,NA,NA,NA
anderson_1984_1956,1984,Michael Anderson,1956,1984,28,1950,film,dystopian,NA,NA,NA
freda_i_1956,I Vampiri,Riccardo Freda,1956,1957,1,1950,film,horror,NA,NA,NA
dick_man_1956,The Man Who Japed,Philip K. Dick,1956,2114,158,1950,prose fiction,science fiction,NA,NA,NA
anderson_question_1956,Question and Answer,Poul Anderson,1956,2806,850,1950,prose fiction,science fiction,Q7758675,NA,NA
nourse_rocket_1957,Rocket to Limbo,Alan E. Nourse,1957,2351,394,1950,prose fiction,novel,NA,NA,NA
hoyle_black_1957,The Black Cloud,Fred Hoyle,1957,1964,7,1950,prose fiction,science fiction,NA,NA,"Earth is ""invaded"" by a giant, sentient black interstellar cloud."
shute_on_1957,On the Beach,Nevil Shute,1957,1963,6,1950,prose fiction,science fiction,NA,NA,The northern hemisphere has been devastated by World War III; the inhabitants of the southern hemisphere await the arrival of fallout.
heinlein_door_1957,The Door into Summer,Robert A. Heinlein,1957,2000,43,1950,prose fiction,science fiction,NA,"1970, 2000, 2001","World War III broke out prior to 1970 with the United States eventually emerging as the victor. During the war, Washington, D.C. was destroyed and the capital was moved to Denver, Colorado. In 1970, household robots and the use of suspended animation are common. A Japanese film adaptation, released in 2021, was set in 2025."
asimov_galley_1957,Galley Slave,Isaac Asimov,1957,2033,76,1950,prose fiction,science fiction,NA,NA,NA
elis_wythnos_1957,Wythnos Yng Nghymru Fydd,Islwyn Ffowc Elis,1957,2033,76,1950,prose fiction,science fiction,NA,NA,NA
lópez_eternauta_1957,El Eternauta,Héctor Germán Oesterheld; Francisco Solano López,1957,1963,6,1950,comics,comic,NA,NA,Depicts an alien invasion of Argentina.
anderson_marius_1957,Marius,Poul Anderson,1957,1964,7,1950,prose fiction,NA,Q7758675,NA,NA
anderson_brake_1957,Brake,Poul Anderson,1957,2270,313,1950,prose fiction,science fiction,Q7758675,NA,NA
anderson_virgin_1957,Virgin Planet,Poul Anderson,1957,3100,1143,1950,prose fiction,NA,Q7758675,NA,NA
schmidt_egghead_1957,Egghead Republic,Arno Schmidt,1957,2008,51,1950,prose fiction,NA,NA,NA,NA
tucker_lincoln_1958,The Lincoln Hunters,Wilson Tucker,1958,2578,620,1950,prose fiction,science fiction,NA,NA,NA
heinlein_all_1958,"""All You Zombies""",Robert A. Heinlein,1958,1978,20,1950,prose fiction,science fiction,NA,1963-1993,"Space colonisation is routine and a Temporal Bureau safeguards the human race through time travel. Complete sexual reassignment is possible, even allowing fertility."
blish_case_1958,A Case of Conscience,James Blish,1958,2049,91,1950,prose fiction,science fiction,NA,NA,NA
bernds_queen_1958,Queen of Outer Space,Edward Bernds,1958,1985,27,1950,film,science fiction,NA,NA,Venus is inhabited by women.
koch_frankenstein_1958,Frankenstein 1970,Howard W. Koch,1958,1970,12,1950,film,science fiction,NA,NA,The monster is created using an atomic reactor.
gurney_terror_1958,Terror from the Year 5000,Robert J. Gurney Jr.,1958,5000,3042,1950,film,science fiction,NA,NA,NA
cahn_it_1958,It! The Terror from Beyond Space,Edward L. Cahn,1958,1973,15,1950,film,horror,NA,NA,The first manned mission to Mars returns to Earth in this year.
mckimson_pre-hysterical_1958,Pre-Hysterical Hare,Robert McKimson,1958,1960,2,1950,film,NA,NA,NA,NA
decamp_tower_1958,The Tower of Zanid,L. Sprague de Camp,1958,2168,210,1950,prose fiction,science fiction,Q7924459,NA,NA
dick_time_1959,Time Out of Joint,Philip K. Dick,1959,1998,39,1950,prose fiction,science fiction,NA,NA,Depicts a nuclear conflict between Earth and the lunar colony.
strock_men_1959,Men into Space,William Conrad; Nathan H. Juran; Otto Lang; Lee Sholem; Herbert L. Strock,1959,1975,16,1950,television,science fiction,NA,NA,"The series was not set in a specific era, but clues throughout the scripts indicated that it took place in the mid-1970s to mid-1980s, with the first moon landing somewhere around 1975."
hitchcock_blessington_1959,"""The Blessington Method"" (from Alfred Hitchcock Presents)",Alfred Hitchcock,1959,1980,21,1950,television,tv series episode,Q1247206,NA,"By 1980, life expectancy has significantly increased. (Ironically, Alfred Hitchcock himself would die in 1980.)"
smight_lonely_1959,The Lonely,Jack Smight,1959,2046,87,1950,prose fiction,NA,NA,NA,NA
piper_the_1959,"""The Answer""",H. Beam Piper,1959,1969,10,1950,prose fiction,short story,NA,NA,"In 1969, a nuclear war between the United States and the Soviet Union devastated the entire Northern Hemisphere."
"sheckley_immortality,_1959","Immortality, Inc.",Robert Sheckley,1959,2110,151,1950,prose fiction,science fiction,NA,NA,NA
kramer_on_1959,On the Beach,Stanley Kramer,1959,1964,5,1950,film,science fiction,NA,NA,The film of the novel.
miller_canticle_1959,A Canticle for Leibowitz,Walter M. Miller,1959,2837,878,1950,prose fiction,science fiction,NA,"2000, 2500, 3174, 3781",NA
honda_battle_1959,Battle in Outer Space,Ishirō Honda,1959,1965,6,1950,film,science fiction,NA,NA,Depicts a terrestrial counter-attack against invading mind-controlling aliens from the Moon.
johns_superman_1959,Superman #128,Dan Jurgens; Joe Shuster; Geoff Johns,1959,2000,41,1950,comics,comic,Q520306,NA,"By 2000, Earth has a world government led by the President of the United Worlds, Mars has been colonized and space travel is common. All of the planet's oceans were dissolved due to an atomic experiment."
wyndham_outward_1959,The Outward Urge,John Wyndham,1959,2094,135,1950,prose fiction,science fiction,NA,1994-2194,A future history from 1994 to 2194 at 50 year intervals. Depicts a missile attack on a British space station in 1994.
hoyle_ossian's_1959,Ossian's Ride,Fred Hoyle,1959,1970,11,1950,prose fiction,science fiction,NA,NA,NA
parrish_one_1959,One for the Angels,Robert Parrish,1959,1960,1,1950,television,NA,Q742103,NA,NA
broome_atomic_1960,Atomic Knight,John Broome,1960,1989,29,1960,comics,comic,NA,1986-1992,"Initially set in a post-apocalyptic United States following a nuclear war which broke out on October 9, 1986. The war wiped out most of humanity and destroyed the majority of plants and animals. The radiation caused dogs to significantly grow in size which led to them being used as steeds.[13]"
dick_vulcan's_1960,Vulcan's Hammer,Philip K. Dick,1960,2029,69,1960,prose fiction,science fiction,NA,NA,NA
broome_star_1960,Star Hawkins,John Broome,1960,2079,119,1960,prose fiction,NA,NA,NA,NA
_weapons_1960,Weapons Master,NA,1960,11960,10000,1960,comics,NA,NA,NA,NA
ulmer_beyond_1960,Beyond the Time Barrier,Edgar G. Ulmer,1960,2024,64,1960,film,science fiction,NA,NA,NA
pal_time_1960,The Time Machine,George Pal,1960,802701,800741,1960,film,science fiction,NA,"1966, 1940, 1966, 802701","George witnesses the beginning of a nuclear war on August 19, 1966."
heyes_elegy_1960,Elegy (from The Twilight Zone),Douglas Heyes,1960,2186,226,1960,television,tv series episode,Q742103,NA,Much of the Earth was destroyed by a nuclear war in 1985.
margheriti_space_1960,Space Men,Antonio Margheriti,1960,2116,156,1960,film,science fiction,NA,NA,NA
maetzig_first_1960,First Spaceship on Venus,Kurt Maetzig,1960,1985,25,1960,film,science fiction,NA,NA,The Gobi Desert is irrigated in 1985.[43]
vonnegut_harrison_1960,Harrison Bergeron,Kurt Vonnegut,1960,2081,121,1960,prose fiction,NA,NA,NA,NA
hayes_for_1961,A for Andromeda,Michael Hayes,1961,1971,10,1960,television,science fiction,NA,1970-1972,Scientists discover and decipher a signal from outer space.
marshall_phantom_1961,The Phantom Planet,William Marshall,1961,1980,19,1960,film,science fiction,NA,NA,The United States has bases on the moon.
ernsting_perry_1961,Perry Rhodan,K. H. Scheer; Walter Ernsting,1961,1971,10,1960,prose fiction,space opera,NA,NA,NA
addiss_rip_1961,The Rip Van Winkle Caper,Jus Addiss,1961,2061,100,1960,prose fiction,NA,NA,NA,NA
nomura_castle_1961,Castle of Sand,Yoshitarō Nomura,1961,1971,10,1960,film,crime thriller,NA,NA,NA
sagal_silence_1961,The Silence,Boris Sagal,1961,1962,1,1960,television,NA,Q742103,NA,NA
mcleod_once_1961,Once Upon a Time,Norman Z. McLeod,1961,1962,1,1960,television,NA,Q742103,NA,NA
anderson_fireball_1962,Fireball XL5,Gerry Anderson,1962,2062,100,1960,television,science fiction,NA,NA,NA
jacobs_time_1962,The Time Trap,Edgar P. Jacobs,1962,5060,3098,1960,prose fiction,NA,NA,NA,NA
vogt_wizard_1962,The Wizard of Linn,A. E. van Vogt,1962,12500,10538,1960,prose fiction,science fiction,NA,NA,NA
fox_epoch_1962,Epoch,Gardner Fox,1962,3786,1824,1960,prose fiction,NA,NA,NA,NA
burgess_clockwork_1962,A Clockwork Orange,Anthony Burgess,1962,1970,8,1960,prose fiction,black comedy,NA,NA,Juvenile delinquency is countered by extreme aversion therapy. The film adaptation was released in 1971.
honda_gorath_1962,Gorath,Ishirō Honda,1962,1979,17,1960,film,science fiction,NA,1976-1982,"In 1979, a manned spacecraft reaches Saturn. In 1980, scientists invent nuclear jet engines to attempt to move Earth away from a runaway planet on a collision course with it.[51]"
pink_journey_1962,Journey to the Seventh Planet,Sidney W. Pink,1962,2001,39,1960,film,science fiction,NA,NA,NA
karyukov_battle_1962,Battle Beyond the Sun,Mikhail Karyukov,1962,1997,35,1960,film,adventure,NA,NA,NA
knebel_seven_1962,Seven Days in May,Fletcher Knebel,1962,1974,12,1960,prose fiction,NA,NA,NA,NA
ballard_drowned_1962,The Drowned World,J.G. Ballard,1962,2145,183,1960,prose fiction,science fiction,NA,NA,NA
heinlein_orphans_1963,Orphans of the Sky,Robert A. Heinlein,1963,2172,209,1960,prose fiction,science fiction,NA,NA,NA
boulle_planet_1963,Planet of the Apes,Pierre Boulle,1963,2500,537,1960,prose fiction,science fiction,Q731663,NA,NA
medford_death_1963,"""Death Ship"" (from The Twilight Zone)",Don Medford,1963,1997,34,1960,television,tv series episode,Q742103,NA,"By 1997, Earth ships are exploring planets to see if they are suitable for colonization."
slesar_old_1963,"""The Old Man in the Cave"" (from The Twilight Zone)",Rod Serling; Henry Slesar,1963,1974,11,1960,television,tv series episode,Q742103,NA,"This episode takes place in 1974, ten years after the United States has been devastated by a nuclear war."
weis_steel_1963,"""Steel"" (from The Twilight Zone)",Don Weis,1963,1974,11,1960,television,tv series episode,Q742103,NA,"This episode takes place in 1974, six years after boxing between human fighters was criminalized in 1968. The sport is dominated by robots instead."
kulick_on_1963,"""On Thursday We Leave For Home"" (from The Twilight Zone)",Buzz Kulick,1963,2021,58,1960,television,tv series episode,Q742103,1991-2021,"In 1991, people fled from Earth due to perpetual war, and set out to colonize another planet. In 2021, a rescue ship arrives to take them home."
"_magnus,_1963","Magnus, Robot Fighter",NA,1963,4000,2037,1960,comics,NA,NA,NA,NA
polák_ikarie_1963,Ikarie XB-1,Jindřich Polák,1963,2163,200,1960,film,science fiction,NA,NA,NA
lem_faithful_1963,Faithful Robot,Stanisław Lem,1963,2000,37,1960,prose fiction,speculative/fantastic,NA,NA,NA
crosland_7th_1963,The 7th Is Made Up of Phantoms,Alan Crosland Jr.,1963,1964,1,1960,television,NA,Q742103,NA,NA
tezuka_astro_1963,Astro Boy,Osamu Tezuka,1963,2013,50,1960,television,action anime and manga,NA,NA,NA
leigh_space_1963,Space Patrol,Roberta Leigh,1963,2100,137,1960,television,science fiction,NA,NA,NA
dick_dr_1964,"Dr. Bloodmoney, or How We Got Along After the Bomb",Philip K. Dick,1964,1981,17,1960,prose fiction,science fiction,NA,"1972, 1981, 1988","A future history of the world, focused on northern California, following a series of nuclear events of uncertain provenance. The world has descended into a post-apocalyptic dystopia in which mutations are common, animals have evolved into higher intelligences and psychokenesis exists."
lewis_two_1964,Two Thousand Maniacs,Herschell Gordon Lewis,1964,1965,1,1960,film,horror,NA,NA,NA
frankenheimer_seven_1964,Seven Days in May,John Frankenheimer,1964,1974,10,1960,film,political thriller,NA,NA,Military leaders opposed to a treaty with the Soviet Union plot a coup to take over the United States government.
biberman_number_1964,"""Number 12 Looks Just Like You"" (from The Twilight Zone)",Abner Biberman,1964,2000,36,1960,television,tv series episode,Q742103,NA,"Set in a world in which people can purchase their adult bodies, but everyone goes for a small number of popular options. Rod Serling opens the episode stating, ""For want of a better estimate, let’s call it the year 2000"".[77]"
anderson_stingray_1964,Stingray,Gerry Anderson,1964,2060,96,1960,television,science fiction,NA,NA,NA
robinson_sensorites_1964,The Sensorites,Nigel Robinson,1964,2700,736,1960,prose fiction,NA,NA,NA,NA
oswald_duplicate_1964,The Duplicate Man,Gerd Oswald,1964,2025,61,1960,television,NA,Q839437,NA,NA
haskin_invisible_1964,The Invisible Enemy,Byron Haskin,1964,2024,60,1960,prose fiction,NA,NA,NA,NA
oswald_soldier_1964,Soldier,Gerd Oswald,1964,3764,1800,1960,prose fiction,speculative/fantastic,NA,NA,NA
thomas_beyond_1964,Beyond the Spectrum,Martin Thomas,1964,2956,992,1960,prose fiction,science fiction,NA,NA,NA
dicks_dalek_1964,The Dalek Invasion of Earth,Terrance Dicks,1964,2167,203,1960,television,NA,Q34316,NA,NA
melchior_time_1964,The Time Travelers,Ib Melchior,1964,2071,107,1960,film,science fiction,NA,NA,NA
salkow_last_1964,The Last Man on Earth,Ubaldo Ragona; Sidney Salkow,1964,1968,4,1960,film,post-apocalyptic,NA,NA,An adaptation of I Am Legend.
florey_long_1964,The Long Morrow (from The Twilight Zone),Robert Florey,1964,2027,63,1960,television,tv series episode,Q742103,"1987, 2027","In 1988, the astronaut Commander Douglas Stansfield is sent on an exploratory mission to a planetary system roughly 141 light-years from Earth."
donner_brain_1964,The Brain Center at Whipple's,Richard Donner,1964,1967,3,1960,television,NA,Q742103,NA,NA
watkins_war_1965,The War Game,Peter Watkins,1965,1966,1,1960,film,documentary,NA,NA,A pseudo-documentary about the effects of a nuclear attack in Kent. The nuclear war was caused as a result of the Vietnam War escalating.
knowles_spaceflight_1965,Spaceflight IC-1,Bernard Knowles,1965,2015,50,1960,film,science fiction,NA,NA,"In 2015, the overpopulated civilized world is controlled by an all-powerful computerized government that is carefully choosing colonists for its newest space launch. The candidates are selected on the basis of their age, health and IQ.[94]"
peel_daleks'_1965,The Daleks' Master Plan,John Peel,1965,4000,2035,1960,television,NA,Q34316,NA,NA
herbert_dune_1965,Dune,Frank Herbert,1965,23352,21387,1960,prose fiction,soft science,NA,NA,NA
anderson_thunderbirds_1965,Thunderbirds,Gerry Anderson,1965,2065,100,1960,television,science fiction,NA,NA,NA
marter_rescue_1965,The Rescue,Ian Marter,1965,2400,435,1960,prose fiction,NA,NA,NA,NA
hewitt_wizard_1965,The Wizard of Mars,David L. Hewitt,1965,1975,10,1960,film,science fiction,NA,NA,"The first manned probe to orbit Mars arrives at its destination on January 1, 1975."
stone_lost_1965,Lost in Space,Irwin Allen; Harry Harris; Nathan H. Juran; Sobey Martin; Leo Penn; Seymour Robbie; Alexander Singer; Ezra Stone,1965,1997,32,1960,television,science fiction,NA,NA,"Jupiter 2, the main ship of the series, was launched on October 16, 1997. By this time, Earth is severely overpopulated. The Robinsons were on a mission to colonize Alpha Centauri."
katzman_space_1965,Space Probe Taurus,Leonard Katzman,1965,2000,35,1960,film,science fiction,NA,NA,"In 2000, humanity is investigating the feasibility of colonizing other galaxies."
_tv_1965,TV Century 21,NA,1965,2067,102,1960,comics,NA,NA,"2066, 2067, 2069",NA
peel_mission_1965,Mission to the Unknown,John Peel,1965,3000,1035,1960,prose fiction,NA,NA,NA,NA
harrington_voyage_1965,Voyage to the Prehistoric Planet,Pavel Klushantsev; Curtis Harrington,1965,2020,55,1960,film,science fiction,NA,NA,"In that film, the moon is colonized. A group of men land on Venus, where they find a prehistoric world consisted of plants, various monsters, and so on."
petri_10th_1965,The 10th Victim,Elio Petri,1965,2079,114,1960,film,dystopian,NA,NA,NA
knight_mind_1965,Mind Switch,Damon Knight,1965,2002,37,1960,prose fiction,science fiction,NA,NA,NA
heinlein_moon_1966,The Moon Is a Harsh Mistress,Robert A. Heinlein,1966,2075,109,1960,prose fiction,science fiction,NA,NA,NA
martinus_tenth_1966,The Tenth Planet (from Doctor Who),Derek Martinus,1966,1986,20,1960,television,tv series,Q34316,NA,"In December 1986, Earth's former sister planet Mondas returns to the Sol System. The 1985 Doctor Who serial Attack of the Cybermen also references these events."
erickson_ark_1966,The Ark,Paul Erickson,1966,10000000,9998034,1960,television,NA,Q34316,NA,NA
bakshi_rocket_1966,Rocket Robin Hood,Ralph Bakshi,1966,3000,1034,1960,television,science fiction,NA,NA,NA
allen_one_1966,"""One Way to the Moon"" (from The Time Tunnel)",Irwin Allen,1966,1978,12,1960,television,science fiction,Q596962,NA,The first manned mission to Mars is launched in 1978.
harrington_queen_1966,Queen of Blood,Curtis Harrington,1966,1990,24,1960,film,horror,NA,NA,"In 1990, a spaceship from Mars crash-lands on Earth."
harrison_make_1966,Make Room! Make Room!,Harry Harrison,1966,1999,33,1960,prose fiction,dystopian,NA,NA,"The world is overpopulated at 7 billion people, with 35 million people in New York City alone. The inspiration for the film Soylent Green (1973)."
roddenberry_star_1966,Star Trek: The Original Series,Gene Roddenberry,1966,2266,300,1960,television,adventure,Q1092,"2254, 2265-2269",NA
adreon_cyborg_1966,Cyborg 2087,Franklin Adreon,1966,2087,121,1960,film,science fiction,NA,NA,NA
douglas_way_1966,Way...Way Out,Gordon Douglas,1966,1989,23,1960,film,comedy,NA,NA,Sex comedy set on competing US and Soviet moon bases.
lane_thunderbirds_1966,Thunderbirds Are Go,David Lane,1966,2066,100,1960,film,science fiction,NA,"2065, 2067",NA
flemyng_daleks_1966,Daleks' Invasion Earth 2150 A.D.,Gordon Flemyng,1966,2150,184,1960,film,science fiction,Q34316,NA,NA
jones_how_1966,How the Grinch Stole Christmas! (TV Special),Chuck Jones,1966,2009,43,1960,television,christmas,NA,NA,NA
saunders_give_1966,Give or Take a Million,Desmond Saunders,1966,2067,101,1960,prose fiction,NA,Q288085,NA,NA
